Latitude	Longitude	Altitude	Date	Time	DOP	Satelites	Cond.1 [mS/m]	Inph.1 [ppt]	Cond.2 [mS/m]	Inph.2 [ppt]	Cond.3 [mS/m]	Inph.3 [ppt]	Cond.4 [mS/m]	Inph.4 [ppt]	Cond.5 [mS/m]	Inph.5 [ppt]	Cond.6 [mS/m]	Inph.6 [ppt]	Note
4018.9804N	00329.0761W	544.5	04/30/2025	09:07:03.56	1.0	9	14.53	2.06	23.65	2.20	30.30	2.78	37.20	4.31	56.47	4.81	69.63	9.76
4018.9804N	00329.0761W	544.5	04/30/2025	09:07:04.61	1.0	9	15.97	2.06	25.97	2.21	33.63	2.82	41.52	4.43	62.71	5.15	77.06	10.75
4018.9805N	00329.0763W	544.2	04/30/2025	09:07:05.65	1.0	9	18.41	2.10	31.13	2.29	41.96	3.00	53.29	4.88	81.60	6.36	100.87	14.35
4018.9807N	00329.0767W	544.1	04/30/2025	09:07:06.56	1.0	9	22.01	2.09	36.55	2.30	48.45	3.08	59.95	5.14	87.95	6.92	98.59	14.82
4018.9811N	00329.0776W	543.5	04/30/2025	09:07:07.61	1.0	9	19.65	2.09	31.94	2.28	41.59	3.01	50.06	4.88	69.27	6.04	65.92	11.22
4018.9814N	00329.0784W	543.4	04/30/2025	09:07:08.65	1.0	9	17.80	2.08	28.77	2.27	36.61	2.98	42.05	4.76	53.98	5.58	47.60	10.09
4018.9819N	00329.0792W	543.3	04/30/2025	09:07:09.56	1.0	9	17.32	2.10	28.04	2.32	35.63	3.10	41.50	5.07	56.68	6.50	59.90	13.49
4018.9822N	00329.0800W	543.2	04/30/2025	09:07:10.60	1.0	9	13.08	2.10	20.72	2.28	27.27	2.95	33.30	4.68	49.04	5.65	56.38	11.84
4018.9826N	00329.0808W	543.1	04/30/2025	09:07:11.65	1.0	9	12.84	2.08	20.17	2.24	25.68	2.87	30.64	4.51	43.98	5.21	48.42	10.44
4018.9830N	00329.0817W	543.0	04/30/2025	09:07:12.55	1.0	9	11.93	2.09	18.74	2.25	23.84	2.87	28.13	4.47	39.75	5.09	42.77	10.19
4018.9834N	00329.0825W	543.0	04/30/2025	09:07:13.60	1.0	9	11.66	2.10	19.09	2.29	24.89	2.96	30.09	4.72	43.48	5.80	47.70	12.46
4018.9838N	00329.0832W	542.9	04/30/2025	09:07:14.66	1.0	9	15.20	2.11	24.60	2.33	31.81	3.14	37.91	5.22	53.57	7.02	58.28	15.35
4018.9842N	00329.0840W	542.8	04/30/2025	09:07:15.55	1.0	9	15.29	2.11	24.51	2.33	31.30	3.13	37.22	5.17	52.28	6.76	56.31	14.27
4018.9846N	00329.0848W	542.7	04/30/2025	09:07:16.60	1.0	9	13.17	2.11	21.49	2.31	27.65	3.04	32.98	4.92	46.75	6.15	50.81	12.84
4018.9850N	00329.0856W	542.7	04/30/2025	09:07:17.65	1.0	9	12.58	2.09	20.21	2.27	26.16	2.96	31.66	4.76	45.79	5.93	50.93	12.75
4018.9854N	00329.0865W	542.8	04/30/2025	09:07:18.55	1.0	9	13.62	2.09	22.37	2.29	29.15	3.05	35.33	5.03	51.21	6.71	56.75	15.38
4018.9858N	00329.0873W	542.8	04/30/2025	09:07:19.61	1.0	9	15.69	2.10	25.21	2.31	32.41	3.10	38.23	5.14	52.63	6.76	52.60	14.24
4018.9861N	00329.0881W	542.6	04/30/2025	09:07:20.66	1.0	9	14.14	2.11	22.92	2.31	28.81	3.02	33.00	4.82	44.38	5.73	45.16	11.01
4018.9865N	00329.0889W	542.6	04/30/2025	09:07:21.55	1.0	9	12.70	2.10	20.38	2.28	25.88	2.95	30.71	4.67	43.69	5.51	48.46	11.05
4018.9868N	00329.0896W	542.6	04/30/2025	09:07:22.61	1.0	9	12.60	2.10	20.46	2.30	26.35	2.98	31.58	4.74	45.29	5.67	50.57	11.26
4018.9872N	00329.0904W	542.7	04/30/2025	09:07:23.66	1.0	9	12.17	2.09	19.47	2.27	24.26	2.90	28.00	4.48	38.31	4.84	39.21	8.21
4018.9875N	00329.0912W	542.9	04/30/2025	09:07:24.56	1.0	9	8.97	2.08	13.98	2.21	16.81	2.71	18.18	3.90	23.49	3.33	21.77	4.27
4018.9877N	00329.0921W	543.0	04/30/2025	09:07:25.61	1.0	9	8.53	2.06	12.32	2.17	14.44	2.62	15.48	3.74	20.40	3.11	20.74	4.10
4018.9881N	00329.0928W	543.1	04/30/2025	09:07:26.66	1.0	9	7.63	2.09	11.79	2.22	14.49	2.69	16.48	3.87	23.15	3.42	25.89	5.16
4018.9885N	00329.0936W	543.1	04/30/2025	09:07:27.55	1.0	9	8.20	2.09	13.17	2.23	16.60	2.72	19.15	3.95	27.11	3.65	30.08	5.76
4018.9889N	00329.0943W	543.1	04/30/2025	09:07:28.61	1.0	9	9.24	2.08	14.64	2.22	18.21	2.73	20.65	4.00	28.36	3.76	29.69	5.90
4018.9892N	00329.0951W	543.1	04/30/2025	09:07:29.66	1.0	9	8.69	2.08	13.81	2.22	17.04	2.71	19.15	3.96	26.40	3.66	28.21	5.73
4018.9896N	00329.0959W	543.1	04/30/2025	09:07:30.56	1.0	9	8.77	2.08	13.43	2.21	16.74	2.71	19.30	3.96	27.62	3.72	31.35	6.14
4018.9900N	00329.0967W	543.1	04/30/2025	09:07:31.61	1.0	9	9.22	2.09	14.92	2.24	19.14	2.79	22.71	4.19	33.20	4.28	38.37	7.71
4018.9904N	00329.0974W	543.2	04/30/2025	09:07:32.65	1.0	9	10.91	2.09	17.59	2.25	22.61	2.83	26.92	4.31	39.01	4.61	44.24	8.53
4018.9909N	00329.0983W	543.2	04/30/2025	09:07:33.56	1.0	9	11.88	2.08	19.04	2.24	24.22	2.84	28.47	4.35	40.33	4.68	42.90	8.29
4018.9913N	00329.0991W	543.2	04/30/2025	09:07:34.61	1.0	9	10.97	2.09	17.18	2.24	21.22	2.78	23.79	4.11	30.89	3.87	27.91	5.32
4018.9916N	00329.1000W	543.3	04/30/2025	09:07:35.65	1.0	9	8.37	2.08	12.83	2.19	15.73	2.65	17.44	3.77	23.61	3.13	24.46	4.11
4018.9919N	00329.1009W	543.4	04/30/2025	09:07:36.56	1.0	9	7.72	2.08	11.91	2.20	14.82	2.65	16.70	3.75	23.20	3.08	25.20	4.03
4018.9923N	00329.1017W	543.5	04/30/2025	09:07:37.60	1.0	9	8.21	2.08	13.02	2.21	16.32	2.66	18.47	3.78	25.74	3.15	27.90	4.21
4018.9927N	00329.1025W	543.6	04/30/2025	09:07:38.65	1.0	9	9.12	2.08	14.32	2.21	17.93	2.67	20.37	3.82	28.41	3.27	30.47	4.42
4018.9931N	00329.1033W	543.6	04/30/2025	09:07:39.55	1.0	9	9.13	2.08	14.44	2.21	18.22	2.67	20.95	3.81	29.65	3.24	31.55	4.32
4018.9935N	00329.1041W	543.7	04/30/2025	09:07:40.60	1.0	9	10.00	2.08	16.36	2.21	21.16	2.69	24.62	3.90	34.46	3.52	35.31	5.19
4018.9938N	00329.1049W	543.8	04/30/2025	09:07:41.65	1.0	9	16.57	2.09	28.21	2.28	38.37	2.97	48.17	4.78	71.34	6.01	81.02	12.84
4018.9942N	00329.1056W	543.8	04/30/2025	09:07:42.55	1.0	9	25.18	2.12	42.94	2.39	58.43	3.35	73.43	5.86	106.12	8.79	111.15	19.77
